Player Name,Composite Metric,Salary
Caleb Martin,18.728199999999998,6479000
Grant Williams,18.707699999999996,4306281
Corey Kispert,18.69985,3552960
Coby White,18.64715,7413955
Herbert Jones,18.643449999999998,1785000
Al Horford,18.563799999999993,26500000
Drew Eubanks,18.492050000000003,1836090
Andrew Wiggins,18.373649999999998,33616770
Bol Bol,18.352299999999996,2200000
Talen Horton-Tucker,18.33095,10260000
Monte Morris,18.269000000000002,9125000
Bogdan Bogdanovic,18.23235,18000000
Marcus Morris Sr.,18.2013,16372093
Isaiah Hartenstein,18.19675,7804879
Jalen Smith,18.098800000000004,4670160
Kyle Lowry,18.065199999999997,28333334
Shake Milton,18.023950000000003,1977718
Cedi Osman,17.872549999999993,7426088
Reggie Jackson,17.86055,580373
Isaiah Joe,17.767049999999998,1836090
Mitchell Robinson,17.758550000000003,17045454
Josh Richardson,17.741550000000004,11615328
Reggie Bullock Jr.,17.69545,10012800
Jonathan Kuminga,17.69125,5739860
Cameron Johnson,17.688499999999998,5887899
Rui Hachimura,17.624300000000005,6263188
Keita Bates-Diop,17.5504,1878720
Georges Niang,17.522100000000002,3465000
Jaylen Nowell,17.5174,1930681
Troy Brown Jr.,17.4965,1836090
Nicolas Batum,17.456,10843350
Jeremy Sochan,17.39265,5063520
Gabe Vincent,17.3201,1815677
Trey Lyles,17.2029,2700000
Dwight Powell,17.201600000000003,11080125
Malaki Branham,17.197,2925600
Dorian Finney-Smith,17.164549999999995,12939648
Damion Lee,17.1621,1836090
Josh Okogie,17.134549999999997,1836090
Isaiah Stewart,17.127100000000002,3433320
Nick Richards,17.106450000000002,1782621
Bones Hyland,17.099950000000003,2201520
AJ Griffin,17.083250000000003,3536160
Cade Cunningham,17.08075,10552800
Collin Sexton,17.000299999999996,16500000
Sam Hauser,16.94775,1563518
Devonte' Graham,16.933700000000005,11550000
Alec Burks,16.876800000000003,10012800
Joe Harris,16.75285,18642857
Isaac Okoro,16.7497,7040880
Brandon Clarke,16.727800000000002,4343920
Davion Mitchell,16.6827,4833600
Moritz Wagner,16.64,1878720
Larry Nance Jr.,16.605500000000003,9672727
Thomas Bryant,16.58615,1836090
Dennis Smith Jr.,16.525599999999997,1836090
Kevin Love,16.51945,3114138
Khris Middleton,16.486800000000002,37948276
Jose Alvarado,16.47055,1563518
Patrick Beverley,16.455000000000002,357717
Doug McDermott,16.40785,13750000
Steven Adams,16.26485,17926829
Alex Caruso,16.252749999999995,9030000
Lonnie Walker IV,16.2474,6479000
Jalen Suggs,16.24595,6922320
Isaiah Jackson,16.238149999999997,2573760
John Konchar,16.19655,2300000
Andre Drummond,16.030299999999997,3200000
Precious Achiuwa,15.97925,2840160
